Time[s]	Pressure[Mpa]
0.99759706	3.265281732
0.999147737	3.262942065
1.0006984	3.26059893
1.002249048	3.258252325
1.003799682	3.255902252
1.005350301	3.253548709
1.006900906	3.251191696
1.008451495	3.248831213
1.010002071	3.24646726
1.011552631	3.244099837
1.013103177	3.241728943
1.014653708	3.239354577
1.016204224	3.236976741
1.017754725	3.234595433
1.019305212	3.232210653
1.020855683	3.229822401
1.02240614	3.227430677
1.023956582	3.22503548
1.025507009	3.222636811
1.02705742	3.220234668
1.028607817	3.217829052
1.030158198	3.215419962
1.031708565	3.213007398
1.033258916	3.21059136
1.034809252	3.208171848
1.036359573	3.205748861
1.037909878	3.203322399
1.039460168	3.200892462
1.041010443	3.198459049
1.042560703	3.19602216
1.044110947	3.193581795
1.045661176	3.191137954
1.047211389	3.188690637
1.048761587	3.186239842
1.050311769	3.183785571
1.051861936	3.181327821
1.053412087	3.178866595
1.054962222	3.17640189
1.056512342	3.173933707
1.058062446	3.171462045
1.059612535	3.168986905
1.061162607	3.166508285
1.062712664	3.164026186
1.064262705	3.161540608
1.06581273	3.15905155
1.067362739	3.156559011
1.068912732	3.154062992
1.07046271	3.151563492
1.072012671	3.149060511
1.073562616	3.146554049
1.075112545	3.144044105
1.076662458	3.141530679
1.078212355	3.139013772
1.079762236	3.136493381
1.0813121	3.133969508
1.082861948	3.131442152
1.08441178	3.128911313
1.085961596	3.126376989
1.087511395	3.123839183
1.089061178	3.121297891
1.090610944	3.118753116
1.092160694	3.116204856
1.093710428	3.11365311
1.095260145	3.111097879
1.096809845	3.108539163
1.098359529	3.105976961
1.099909196	3.103411272
1.101458846	3.100842097
1.10300848	3.098269436
1.104558097	3.095693287
1.106107697	3.093113651
1.10765728	3.090530527
1.109206846	3.087943915
1.110756396	3.085353815
1.112305928	3.082760226
1.113855444	3.080163148
1.115404943	3.077562582
1.116954424	3.074958525
1.118503889	3.072350979
1.120053336	3.069739943
1.121602766	3.067125417
1.123152179	3.0645074
1.124701575	3.061885892
1.126250953	3.059260892
1.127800314	3.056632402
1.129349658	3.054000419
1.130898984	3.051364944
1.132448293	3.048725976
1.133997585	3.046083516
1.135546859	3.043437563
1.137096115	3.040788116
1.138645354	3.038135176
1.140194575	3.035478741
1.141743779	3.032818812
1.143292965	3.030155389
1.144842133	3.02748847
1.146391283	3.024818057
1.147940416	3.022144148
1.149489531	3.019466742
1.151038627	3.016785841
1.152587706	3.014101443
1.154136767	3.011413549
1.15568581	3.008722157
1.157234835	3.006027267
1.158783842	3.00332888
1.160332831	3.000626995
1.161881801	2.997921612
1.163430753	2.995212729
1.164979687	2.992500348
1.166528603	2.989784467
1.168077501	2.987065087
1.16962638	2.984342206
1.17117524	2.981615826
1.172724083	2.978885944
1.174272906	2.976152562
1.175821712	2.973415678
1.177370498	2.970675293
1.178919267	2.967931405
1.180468016	2.965184016
1.182016747	2.962433124
1.183565459	2.959678729
1.185114152	2.95692083
1.186662826	2.954159428
1.188211482	2.951394523
1.189760119	2.948626112
1.191308736	2.945854198
1.192857335	2.943078778
1.194405915	2.940299853
1.195954476	2.937517423
1.197503017	2.934731487
1.19905154	2.931942044
1.200600043	2.929149095
1.202148527	2.926352639
1.203696992	2.923552675
1.205245437	2.920749205
1.206793863	2.917942226
1.20834227	2.915131739
1.209890657	2.912317743
1.211439025	2.909500238
1.212987373	2.906679224
1.214535702	2.903854701
1.216084011	2.901026667
1.217632301	2.898195123
1.21918057	2.895360069
1.22072882	2.892521504
1.222277051	2.889679427
1.223206103	0
1.224135155	0
1.225064207	0
1.225993259	0
1.226922311	0
1.227851363	0
1.228780415	0
1.229709467	0
1.230638519	0
1.231567571	0
1.232496623	0
1.233425675	0
1.234354728	0
1.23528378	0
1.236212832	0
1.237141884	0
1.238070936	0
1.238999988	0
1.23992904	0
1.240858092	0
1.241787144	0
1.242716196	0
1.243645248	0
1.2445743	0
1.245503353	0
1.246432405	0
1.247361457	0
1.248290509	0
1.249219561	0
1.250148613	0
1.251077665	0
1.252006717	0
1.252935769	0
1.253864821	0
1.254793873	0
1.255722925	0
1.256651977	0
1.25758103	0
1.258510082	0
1.259439134	0
1.260368186	0
1.261297238	0
1.26222629	0
1.263155342	0
1.264084394	0
1.265013446	0
1.265942498	0
1.26687155	0

